Credit used (%),Months since last late payment,On-time payment rate (%),Number of loans,Loans not paid off (%),Months since last credit application,CreditScore
64.0,5.0,94.0,17.0,100.0,0.0,Bad
2.0,7.0,97.0,37.0,32.0,0.0,Good
23.0,2.0,80.0,20.0,64.0,0.0,Good
58.0,8.0,95.0,22.0,89.0,0.0,Bad
10.0,2.0,93.0,30.0,73.0,0.0,Bad
87.0,33.0,96.0,23.0,67.0,0.0,Bad
65.0,18.0,88.0,18.0,44.0,0.0,Bad
19.0,51.0,97.0,31.0,59.0,0.0,Bad
41.0,6.0,62.0,13.0,100.0,0.0,Bad
69.0,6.0,90.0,20.0,75.0,0.0,Bad
88.0,4.0,82.0,28.0,86.0,0.0,Bad
13.0,1.0,91.0,34.0,65.0,0.0,Good
78.0,4.0,92.0,24.0,88.0,0.0,Good
34.0,4.0,75.0,44.0,74.0,0.0,Bad
97.0,25.0,89.0,9.0,100.0,0.0,Bad
19.0,1.0,57.0,14.0,100.0,0.0,Bad
13.0,55.0,93.0,30.0,58.0,0.0,Good
35.0,9.0,92.0,12.0,71.0,0.0,Good
50.0,15.0,95.0,22.0,69.0,0.0,Bad
43.0,5.0,82.0,33.0,90.0,0.0,Bad
49.0,14.0,97.0,30.0,86.0,0.0,Bad
1.0,59.0,95.0,41.0,50.0,0.0,Good
33.0,42.0,98.0,43.0,57.0,0.0,Bad
0.0,15.0,75.0,17.0,25.0,0.0,Good
5.0,7.0,57.0,7.0,67.0,0.0,Bad
74.0,42.0,80.0,10.0,100.0,0.0,Bad
51.0,27.0,93.0,14.0,67.0,0.0,Bad
